NoOfBedrooms,NoOfBathrooms,NoOfFloors,FlatArea,LotArea,BasementArea,AreaOfTheHouseFromBasement,LivingAreaAfterRenovation,LotAreaAfterRenovation,AgeOfHouse,ConditionOfTheHouse,OverallGrade,SalePrice
3,1.0,1.0,1180.0,5650.0,0,1180.0,1340.0,5650,63,Fair,7,221900.0
3,2.25,2.0,2570.0,7242.0,400,2170.0,1690.0,7639,67,Fair,7,538000.0
2,1.0,1.0,770.0,10000.0,0,770.0,2720.0,8062,85,Fair,6,180000.0
4,3.0,1.0,1960.0,5000.0,910,1050.0,1360.0,5000,53,Excellent,7,604000.0
3,2.0,1.0,1680.0,8080.0,0,1680.0,1800.0,7503,31,Fair,8,510000.0
4,4.5,1.0,5420.0,101930.0,1530,3890.0,4760.0,101930,17,Fair,10,1230000.0
3,2.25,2.0,1715.0,6819.0,0,1715.0,2238.0,6819,23,Fair,7,257500.0
3,1.5,1.0,1060.0,9711.0,0,1060.0,1650.0,9711,55,Fair,7,291850.0
3,1.0,1.0,1780.0,7470.0,730,1050.0,1780.0,8113,58,Fair,7,229500.0
3,2.5,2.0,1890.0,6560.0,0,1890.0,2390.0,7570,15,Fair,7,323000.0
3,2.5,1.0,3560.0,9796.0,1700,1860.0,2210.0,8925,53,Fair,8,662500.0
2,1.0,1.0,1160.0,6000.0,300,860.0,1330.0,6000,76,Good,7,468000.0
3,1.0,1.5,1430.0,19901.0,0,1430.0,1780.0,12697,91,Good,7,310000.0
3,1.75,1.0,1370.0,9680.0,0,1370.0,1370.0,10208,41,Good,7,400000.0
5,2.0,1.5,1810.0,4850.0,0,1810.0,1360.0,4850,118,Fair,7,530000.0
4,3.0,2.0,2950.0,5000.0,970,1980.0,2140.0,4000,39,Fair,9,650000.0
3,2.0,2.0,1890.0,14040.0,0,1890.0,1890.0,14018,24,Fair,7,395000.0
4,1.0,1.5,1600.0,4300.0,0,1600.0,1610.0,4300,102,Good,7,485000.0
2,1.0,1.0,1200.0,9850.0,0,1200.0,1060.0,5095,97,Good,7,189000.0
3,1.0,1.0,1250.0,9774.0,0,1250.0,1280.0,8850,49,Good,7,230000.0
4,1.75,1.0,1620.0,4980.0,760,860.0,1400.0,4980,71,Good,7,385000.0
3,2.75,1.0,3050.0,44867.0,720,2330.0,4110.0,20336,50,Fair,9,2000000.0
5,2.5,2.0,2270.0,6300.0,0,2270.0,2240.0,7005,23,Fair,8,285000.0
2,1.5,1.0,1070.0,9643.0,0,1070.0,1220.0,8386,33,Fair,7,252700.0
3,2.25,2.0,2450.0,6500.0,0,2450.0,2200.0,6865,33,Good,8,329000.0
3,2.0,1.5,1710.0,4697.0,0,1710.0,1030.0,4705,77,Excellent,6,233000.0
3,1.75,2.0,2450.0,2691.0,700,1750.0,1760.0,3573,103,Fair,8,937000.0
3,1.0,1.5,1400.0,1581.0,0,1400.0,1860.0,3861,109,Excellent,8,667000.0
3,1.75,1.0,1520.0,6380.0,730,790.0,1520.0,6235,70,Fair,7,438000.0
4,2.5,2.0,2570.0,7173.0,0,2570.0,2630.0,6026,13,Fair,8,719000.0
3,2.5,2.0,2320.0,3980.0,0,2320.0,2580.0,3980,15,Fair,8,580500.0
2,1.5,3.0,1190.0,1265.0,0,1190.0,1390.0,1756,13,Fair,7,280000.0
4,1.75,1.5,2330.0,5000.0,820,1510.0,1460.0,5000,89,Good,7,687500.0
3,1.0,1.5,1090.0,3000.0,0,1090.0,1570.0,5080,89,Good,8,535000.0
4,2.75,1.0,2060.0,6659.0,780,1280.0,2020.0,8720,37,Fair,7,322500.0
3,2.5,1.5,2300.0,3060.0,790,1510.0,1590.0,3264,88,Fair,8,696000.0
4,1.0,1.0,1660.0,34848.0,730,930.0,2160.0,11467,85,Bad,5,550000.0
4,2.0,2.0,2360.0,6000.0,0,2360.0,1730.0,4700,114,Good,8,640000.0
4,1.0,1.0,1220.0,8075.0,330,890.0,1290.0,7800,49,Okay,7,240000.0
4,2.5,2.0,2620.0,7553.0,0,2620.0,2620.0,11884,22,Fair,8,605000.0
4,2.5,2.0,2570.0,5520.0,0,2570.0,2470.0,5669,18,Fair,9,625000.0
4,2.25,1.0,4220.0,24186.0,1620,2600.0,2410.0,30617,34,Fair,8,775000.0
5,2.75,2.0,3595.0,5639.0,0,3595.0,3625.0,5639,4,Fair,9,861990.0
3,1.0,2.0,1570.0,2280.0,0,1570.0,1580.0,2640,96,Fair,7,685000.0
3,1.0,1.0,1280.0,9656.0,360,920.0,1340.0,8808,59,Good,6,309000.0
3,2.5,2.0,3160.0,13603.0,0,3160.0,3050.0,9232,15,Fair,8,488000.0
3,1.0,1.0,990.0,8528.0,0,990.0,1228.0,8840,52,Fair,6,210490.0
4,2.5,2.0,2290.0,13416.0,0,2290.0,2680.0,13685,37,Good,9,785000.0
3,1.75,1.0,1250.0,5963.0,0,1250.0,970.0,5100,65,Good,7,450000.0
3,2.5,1.0,2753.0,65005.0,588,2165.0,2680.0,72513,65,Excellent,9,1350000.0
3,1.0,1.0,1190.0,9199.0,0,1190.0,1190.0,9364,63,Fair,7,228000.0
5,2.5,1.0,3150.0,9134.0,1510,1640.0,1990.0,9133,52,Good,8,345000.0
3,1.75,1.0,1410.0,4080.0,410,1000.0,1410.0,4080,68,Good,7,600000.0
2,1.75,1.0,1980.0,8550.0,990,990.0,1480.0,6738,37,Fair,7,585000.0
5,2.25,1.5,2730.0,6000.0,600,2130.0,2730.0,6000,91,Fair,8,920000.0
4,2.5,2.0,2830.0,5000.0,0,2830.0,1950.0,5000,23,Fair,9,885000.0
4,2.5,2.0,2250.0,4495.0,0,2250.0,2250.0,4500,10,Fair,7,292500.0
3,2.5,2.0,2420.0,4750.0,0,2420.0,2690.0,4750,15,Fair,8,301000.0
5,3.25,2.0,3250.0,14342.0,0,3250.0,2960.0,11044,50,Good,8,951000.0
4,3.0,2.0,1850.0,9976.0,0,1850.0,2270.0,8542,27,Fair,8,430000.0
3,2.25,1.0,2150.0,21235.0,560,1590.0,2570.0,18900,59,Good,8,650000.0
3,1.75,1.0,1260.0,8400.0,0,1260.0,1290.0,8750,64,Fair,7,289000.0
3,1.75,2.0,2519.0,8690.0,0,2519.0,2500.0,9500,45,Excellent,8,505000.0
3,1.75,3.0,1540.0,1044.0,0,1540.0,1580.0,3090,4,Fair,8,549000.0
3,2.25,1.0,1660.0,6000.0,550,1110.0,1440.0,4080,39,Fair,7,425000.0
3,2.75,1.5,2770.0,3809.0,1000,1770.0,1440.0,4000,93,Excellent,7,317625.0
4,2.5,2.0,2720.0,11049.0,0,2720.0,2750.0,11049,29,Fair,10,975000.0
4,2.5,2.0,2240.0,4648.0,0,2240.0,2221.0,4557,13,Fair,7,287000.0
3,1.0,1.0,1000.0,12070.0,0,1000.0,1010.0,12635,50,Good,7,204000.0
5,2.25,1.0,3200.0,20158.0,1600,1600.0,3390.0,20158,53,Fair,8,1330000.0
5,3.25,1.0,4770.0,50094.0,1700,3070.0,3530.0,38917,45,Good,10,1040000.0
3,2.0,1.0,1260.0,5612.0,0,1260.0,1640.0,4745,46,Good,7,325000.0
4,2.0,1.5,2750.0,7807.0,500,2250.0,1510.0,7807,102,Excellent,7,571000.0
4,2.5,2.0,2380.0,5000.0,0,2380.0,2420.0,5000,13,Fair,8,360000.0
3,1.75,1.0,1790.0,50529.0,700,1090.0,1940.0,50529,53,Excellent,7,349000.0
4,4.0,2.0,3430.0,35102.0,1040,2390.0,3240.0,35020,32,Good,10,832500.0
4,1.75,1.0,1760.0,7300.0,880,880.0,1680.0,7500,62,Fair,7,380000.0
3,1.0,1.0,1040.0,5060.0,0,1040.0,890.0,5060,77,Fair,7,480000.0
3,1.0,1.0,1410.0,5060.0,500,910.0,1130.0,5693,62,Good,7,410000.0
4,2.5,2.0,3450.0,39683.0,0,3450.0,3350.0,39750,16,Fair,10,720000.0
3,2.5,2.0,2350.0,5100.0,0,2350.0,2350.0,5363,15,Fair,8,390000.0
4,2.5,2.0,1900.0,5889.0,0,1900.0,1870.0,6405,26,Fair,7,360000.0
2,1.0,1.0,2020.0,6720.0,1010,1010.0,1720.0,6720,70,Fair,7,355000.0
3,1.5,1.0,1680.0,8712.0,0,1680.0,1850.0,8797,54,Fair,8,356000.0
3,1.0,1.0,960.0,6634.0,0,960.0,1570.0,7203,66,Fair,6,315000.0
3,1.5,2.0,2140.0,3600.0,240,1900.0,2020.0,4800,93,Fair,9,940000.0
5,2.25,1.5,2660.0,8400.0,0,2660.0,1590.0,8165,57,Excellent,7,305000.0
3,3.25,2.0,2770.0,6278.0,790,1980.0,1900.0,7349,12,Fair,9,461000.0
2,2.25,2.0,1610.0,2040.0,0,1610.0,1950.0,2025,39,Good,7,215000.0
2,1.75,2.0,1030.0,1066.0,265,765.0,1030.0,1106,12,Fair,7,335000.0
5,2.75,2.0,3520.0,6353.0,0,3520.0,2520.0,6250,17,Good,10,1100000.0
3,1.0,1.0,1200.0,10500.0,0,1200.0,1350.0,10500,56,Fair,7,153000.0
3,1.5,1.0,1580.0,5000.0,290,1290.0,1570.0,4500,79,Fair,8,430000.0
3,1.5,1.0,1580.0,5000.0,290,1290.0,1570.0,4500,79,Fair,8,700000.0
4,2.5,1.0,3300.0,10250.0,910,2390.0,1950.0,6045,72,Fair,7,905000.0
